snapshot_id,portfolio_id,date,nav,created_at,branded_gold_price,private_gold_price
SNP1767711828045828,PF1767711733644822,2026-01-06,25200000.00,2026-01-06 15:03:48.206474+00,,
SNP17677120540349052,PF17677119883281854,2026-01-06,88401600.00,2026-01-06 15:07:34.203388+00,,
SNP17677122208601235,PF17677121703528701,2026-01-06,240925000.00,2026-01-06 15:10:21.004757+00,,
SNP17677127590758291,PF17677122878619864,2026-01-06,10800000.00,2026-01-06 15:19:19.240173+00,,
SNP17677137850057868,PF1767712929928611,2026-01-06,499827046.00,2026-01-06 15:36:25.284583+00,,
SNP17677146329683966,PF17677145467378235,2026-01-06,58900000.00,2026-01-06 15:50:33.189662+00,,
SNP17678002482945651,PF17677499259437458,2026-01-07,0.00,2026-01-07 15:37:28.587421+00,15650000,15120000
SNP17678007095438984,PF17678006438353282,2026-01-07,2636000.00,2026-01-07 15:45:09.665108+00,,
SNP17680974965908163,PF17677121703528701,2026-01-11,256705000.00,2026-01-11 02:11:36.760845+00,,
SNP17680976220435021,PF1767712929928611,2026-01-11,504494861.00,2026-01-11 02:13:42.305399+00,,
SNP1768097784550325,PF1767711733644822,2026-01-11,25080000.00,2026-01-11 02:16:24.686397+00,,
SNP17680979298251737,PF17677119883281854,2026-01-11,89867500.00,2026-01-11 02:18:49.993891+00,,
SNP17680982913633451,PF17677122878619864,2026-01-11,11083881.00,2026-01-11 02:24:51.530507+00,,
SNP17680985322108665,PF17680984005231540,2026-01-11,5858648.00,2026-01-11 02:28:52.511163+00,,
SNP17697873542983678,PF1767712929928611,2026-01-30,510347171.00,2026-01-30 15:35:54.519177+00,,
SNP17697874251646740,PF17677122878619864,2026-01-30,10873813.00,2026-01-30 15:37:05.321132+00,,
SNP17697874841446395,PF17677121703528701,2026-01-30,254979856.00,2026-01-30 15:38:04.318602+00,,
SNP17697876171682939,PF17677119883281854,2026-01-30,91470971.00,2026-01-30 15:40:17.328653+00,,
SNP17697877206125030,PF1767711733644822,2026-01-30,27440000.00,2026-01-30 15:42:00.770697+00,,
SNP17699563761401725,PF17678006438353282,2026-02-01,2800000,,,
SNP17702181174911219,PF17677145467378235,2026-02-04T15:15:17.490Z,16630000,,,
SNP1770218119217639,PF1767712929928611,2026-02-04T15:15:19.217Z,505201396,,,
SNP1770218119766286,PF17677121703528701,2026-02-04T15:15:19.766Z,254166200,,,
SNP17702181199527812,PF17677119883281854,2026-02-04T15:15:19.951Z,90708628,,,
SNP17702181201389178,PF1767711733644822,2026-02-04T15:15:20.136Z,27480000,,,
SNP17702847207469586,PF17677499259437458,2026-02-05,0,,17500000,17450000
