list_id,ticker,company_name,meeting_date,continue_accumulation_date,stop_buy_price,sell_target_price,row_order,stock_id,target_profit_percent,notes
TL17707994538289610,ACB,Ngân hàng TMCP Á Châu,null,,34000,35500,0,TS17707994575058368,null,null
TL17707994538289610,ACV,Công ty Cổ phần Cảng hàng không Việt Nam,8/7/2025,1/9/2025,63800,66800,1,TS17707994575055272,null,null
TL17707994538289610,HPG,Công ty Cổ phần Tập đoàn Hòa Phát,null,,34000,36000,2,TS17707994575057989,null,null
TL17707994538289610,LHG,Công ty Cổ phần Long Hậu,2/1/2024,1/1/2026,30000,32000,3,TS17707994575052716,null,null
TL17707994538289610,MBB,Ngân hàng TMCP Quân đội,15/8/2025,1/10/2025,31000,33000,4,TS17707994575053211,null,null
TL17707994538289610,MSB,Ngân hàng TMCP Hàng hải Việt Nam,21/8/2025,1/10/2025,14500,15000,5,TS17707994575058410,null,null
TL17707994538289610,OCB,Ngân hàng Thương mại cổ phần Phương Đông,null,,15900,17000,6,TS17707994575058022,null,null
TL17707994538289610,TCB,Ngân hàng TMCP Kỹ thương Việt Nam,21/8/2025,1/11/2025,39000,42000,7,TS17707994575058961,null,null
TL17707994538289610,TPB,Ngân hàng TMCP Tiên Phong,null,,22100,23900,8,TS17707994575058884,null,null
TL17707994538289610,VCB,Ngân hàng TMCP Ngoại thương Việt Nam,13/1/2026,,71000,73900,9,TS17707994575059468,null,null
TL17707994538289610,VHC,Công ty cổ phần Vĩnh Hoàn,3/1/2024,1/4/2025,64000,68000,10,TS1770799457505349,null,null
TL17707994538289610,VHM,Công ty cổ phần Vinhomes,28/5/2025,,59000,65000,11,TS17707994575055783,null,null
TL17707994538289610,VIB,Ngân hàng TMCP Quốc tế Việt Nam,null,,23800,25500,12,TS17707994575056024,null,null
TL17707994538289610,VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,15/8/2025,1/12/2025,36000,38800,13,TS17707994575055719,null,null
TL17707994538289610,VRE,Công ty Cổ phần Vincom Retail,8/5/2025,,28500,30000,14,TS17707994575055708,null,null
TL17707994538289610,HDB,Ngân hàng TMCP Phát Triển Thành phố Hồ Chí Minh,22/12/2025,,24700,27000,15,TS17707994575051072,null,null
TL17707994538289610,STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tin,21/4/2025,,46000,49000,16,TS17707994575054191,null,null
TL17707994538289610,VND,Công ty Cổ phần Chứng khoán VNDIRECT,null,,23000,27000,17,TS17707994575057022,null,null
TL17707994538289610,SSI,Công ty Cổ phần Chứng khoán SSI,null,,35000,40000,18,TS17707994575053522,null,null
TL17707994538289610,TCX,Công ty Cổ phần Chứng khoán Kỹ Thương,23/1/2026,,49900,55000,19,TS17707994575059821,null,null
TL17707994538289610,HCM,Công ty Cổ phần Chứng khoán TP.Hồ Chí Minh,null,,26000,30000,20,TS17707994575054898,null,null
TL17707994538289610,VCI,Công ty Cổ phần Chứng khoản Vietcap,null,,38000,44000,21,TS1770799457505963,null,null
TL17707994538289610,NLG,Công ty Cổ phần Đầu tư Nam Long,null,,35000,43000,22,TS17707994575056866,null,null
TL17707994538289610,MSN,Công ty Cổ phần Đầu tư Tập đoàn Masan,null,,88000,105000,23,TS17707994575056161,null,null
TL17707994538289610,BWE,Công ty Cổ phần Nước - Môi trường Bình Dương,5/5/2025,,46500,50900,24,TS1770799457505875,null,null
TL17707994538289610,DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,15/7/2025,1/9/2025,95000,100000,25,TS17707994575055495,null,null
TL17707994538289610,DHC,Công ty Cổ phần Đông Hải Bến Tre,null,,42800,45000,26,TS17707994575053375,null,null
TL17707994538289610,DHG,Công ty Cổ phần Dược Hậu Giang,null,,130000,136000,27,TS17707994575056620,null,null
TL17707994538289610,DPR,Công ty Cổ phần Cao su Đồng Phú,15/1/2025,,39600,43200,28,TS17707994575052639,null,null
TL17707994538289610,FPT,Công ty Cổ phần FPT,23/7/2025,1/8/2025,100000,110000,29,TS1770799457505116,null,null
TL17707994538289610,HAX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,8/5/2025,1/9/2025,14500,16000,30,TS17707994575057834,null,null
TL17707994538289610,IMP,Công ty Cổ phần Dược phẩm IMEXPHARM,7/12/2024,,46000,51000,31,TS17707994575054583,null,null
TL17707994538289610,MWG,Công ty Cổ phần Đầu tư Thế giới Di động,31/1/2026,,88000,91000,32,TS17707994575055694,null,null
TL17707994538289610,PHR,Công ty cổ phần Cao su Phước Hòa,14/1/2026,,63000,66000,33,TS17707994575054953,null,null
TL17707994538289610,PNJ,Công ty Cổ phần vàng bạc đá quý Phú Nhuận,19/1/2026,,105000,110000,34,TS17707994575054055,null,null
