date,type,amount,cash_account_id,description,transaction_id,created_at,portfolio_id,gold_type,quantity_chi,unit_price,fee,ticker,quantity
2026-02-04,DEPOSIT,46415000,CA17681354679428394,null,T17702182999108846,2026-02-04T15:18:19.910Z,null,null,null,null,null,null,null
2026-02-04T00:00:00.000Z,BUY,-50070750,,,T17702177972314414,2026-02-04T15:09:57.231Z,PF1767712929928611,,,19830,,VND,2525
2026-02-04T00:00:00.000Z,BUY,-50059110,,,T17702177726365999,2026-02-04T15:09:32.636Z,PF1767712929928611,,,17670,,VIB,2833
2026-02-04T00:00:00.000Z,BUY,-49948990,,,T17702177529346524,2026-02-04T15:09:12.934Z,PF1767712929928611,,,17030,,TPB,2933
2026-02-04T00:00:00.000Z,BUY,-50071200,,,T17702177303159248,2026-02-04T15:08:50.315Z,PF1767712929928611,,,33650,,TCB,1488
2026-02-04T00:00:00.000Z,BUY,-23834340,,,T17702177113255723,2026-02-04T15:08:31.325Z,PF1767712929928611,,,155780,,NTC,153
2026-02-04T00:00:00.000Z,BUY,-25031050,,,T17702176866209537,2026-02-04T15:08:06.620Z,PF1767712929928611,,,32050,,NLG,781
2026-02-04T00:00:00.000Z,BUY,-49968600,,,T17702176614726058,2026-02-04T15:07:41.472Z,PF1767712929928611,,,75710,,MSN,660
2026-02-04T00:00:00.000Z,BUY,-50084020,,,T17702176123087873,2026-02-04T15:06:52.308Z,PF1767712929928611,,,26740,,HPG,1873
2026-02-04T00:00:00.000Z,BUY,-77448840,,,T1770217588186749,2026-02-04T15:06:28.186Z,PF1767712929928611,,,26920,,HDG,2877
2026-02-04T00:00:00.000Z,BUY,-49742100,,,T17702175596717620,2026-02-04T15:05:59.671Z,PF1767712929928611,,,24030,,ACB,2070
2026-02-04T00:00:00.000Z,BUY,-96400000,,,T17702174762857624,2026-02-04T15:04:36.285Z,PF17677121703528701,,,38560,,TCB,2500
2026-02-04T00:00:00.000Z,BUY,-13670000,,,T17702174575126341,2026-02-04T15:04:17.512Z,PF17677121703528701,,,27340,,SHS,500
2026-02-04T00:00:00.000Z,BUY,-22085000,,,T1770217442175612,2026-02-04T15:04:02.175Z,PF17677121703528701,,,44170,,CTS,500
2026-02-04T00:00:00.000Z,BUY,-179016000,,,T17702174231929646,2026-02-04T15:03:43.192Z,PF17677121703528701,,,149180,,CTR,1200
2026-02-04T00:00:00.000Z,BUY,-26390000,,,T17702173837117946,2026-02-04T15:03:03.711Z,PF17677121703528701,,,26390,,ACB,1000
2026-02-04T00:00:00.000Z,BUY,-41720000,,,T17702173025974426,2026-02-04T15:01:42.597Z,PF1767711733644822,,,104300,,DGC,400
2026-02-04T00:00:00.000Z,BUY,-24696000,,,T17702172248676398,2026-02-04T15:00:24.867Z,PF17677119883281854,,,82320,,MSN,300
2026-02-04T00:00:00.000Z,BUY,-13098000,,,T17702171898716543,2026-02-04T14:59:49.871Z,PF17677119883281854,,,43660,,CTS,300
2026-02-04T00:00:00.000Z,BUY,-17661240,,,T17702169917359866,2026-02-04T14:56:31.735Z,PF17677119883281854,,,18630,,NKG,948
2026-02-04T00:00:00.000Z,BUY,-48490240,,,T17702168623216578,2026-02-04T14:54:22.321Z,PF17677119883281854,,,27520,,ACB,1762
2026-02-04T00:00:00.000Z,BUY,-8000000,,,T17702155115086588,2026-02-04T14:31:51.508Z,PF17677145467378235,,,20000,,ACB,400
2026-02-04T00:00:00.000Z,BUY,-10000000,,,T17702149195763729,2026-02-04T14:21:59.576Z,PF17677145467378235,,,100000,,FPT,100
2026-01-11,DEPOSIT,60725000,CA17681354679428394,,T17681354979572655,2026-01-11 12:44:58.097641+00,,,,,,,
2026-01-07,DEPOSIT,2636000,,,T17678007011446460,2026-01-07 15:45:01.446767+00,PF17678006438353282,,,,,,
2026-01-01,DEPOSIT,41720000,,DGC,T17677117894684439,2026-01-06 15:03:09.771294+00,PF1767711733644822,,,,,,
2026-01-01,DEPOSIT,103949508,,,T17677120183023245,2026-01-06 15:06:58.439146+00,PF17677119883281854,,,,,,
2026-01-01,DEPOSIT,337552200,,,T17677121976674755,2026-01-06 15:09:57.819063+00,PF17677121703528701,,,,,,
2026-01-01,DEPOSIT,10946395,,,T1767712740483245,2026-01-06 15:19:00.638475+00,PF17677122878619864,,,,,,
2026-01-01,DEPOSIT,500683296,,,T17677136691812303,2026-01-06 15:34:29.817925+00,PF1767712929928611,,,,,,
2026-01-01,DEPOSIT,15000000,,,T17677145780874316,2026-01-06 15:49:38.256863+00,PF17677145467378235,,,,,,
2026-01-01,DEPOSIT,6000000,,,T17680984379627237,2026-01-11 02:27:18.104297+00,PF17680984005231540,,,,,,
2025-12-11,DEPOSIT,7625000,,0.5 chỉ - DOJI,T17677502557283553,2026-01-07 01:44:15.901457+00,PF17677499259437458,BRANDED,0.5,15250000,,,
2025-12-10,DEPOSIT,15250000,,1 chỉ - DOJI,T17677502078033421,2026-01-07 01:43:28.275299+00,PF17677499259437458,BRANDED,1,15250000,,,
2025-10-25,DEPOSIT,29680000,,2 chỉ - Kim Bảo Trí,T17677500771948801,2026-01-07 01:41:17.369207+00,PF17677499259437458,PRIVATE,2,14840000,,,
